Country,Avg_troops_absolute,Avg_troops_absolute_SD,Rel_troops_activemilpersonnel,Rel_troops_ISAF,Rel_popsize_ISAF,Rel_GDP_ISAF
Belgium,427,97,1.09,0.66,1.14,1.49
Bulgaria,437,132,1.04,0.68,0.78,0.15
Czech Republic,368,128,1.64,0.57,1.12,0.6
France,"2,478","1,163",0.82,3.84,7.16,8.38
Germany,"3,649",628,1.99,5.66,8.93,10.53
Greece,127,35,0.12,0.2,1.18,1.04
Hungary,293,94,0.98,0.45,1.09,0.41
Italy,"2,631",537,1.42,4.08,6.69,6.68
The Netherlands,"1,583",422,3.95,2.46,1.85,2.5
Poland,"1,521",755,1.69,2.36,4.21,1.36
Portugal,115,42,0.3,0.18,1.18,0.74
Romania,900,357,1.24,1.4,2.4,0.51
Spain,912,345,0.56,1.41,5.12,4.62
UK,"8,196","1,316",4.63,12.71,6.87,6.87
Other NATO EU,671,187,1.66,1.04,1.64,0.86
NATO EU,"24,308","5,145",1.59,37.71,51.35,46.74
Canada,"2,652",234,4.13,4.11,3.73,4.22
Denmark,655,138,2.26,1.02,0.61,0.98
Turkey,"1,087",485,0.75,1.69,8.63,1.94
United States,"34,873","28,657",2.34,54.1,34.32,44.64
Other NATO NON EU,888,131,2.16,1.38,1.37,1.48
NATO NON EU,"40,155","29,425",2.26,62.29,48.65,53.26
NATO TOTAL,"64,463","34,099",1.96,100,100,100
Australia,"1,101",353,2.07,,,
New Zealand,156,47,1.7,,,
Sweden,357,94,2.72,,,
Other NON NATO,629,593,0.06,,,
NON NATO TOTAL,"2,243","1,057",0.19,,,
ALL NATIONS,"66,706","35,147",1.49,,,