Country,Mil_fatalities_2001-2006,Mil_fatalities_2007-2010,Mil_fatalities_2001-2010,Mil_fatalities_share_total,Mil_fatalities_share_deployed,Mil_fatalities_percapita
Belgium,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0
Czech Republic,0,2,2,0.11,0.54,0.2
France,9,33,42,2.35,1.33,0.6
Germany,6,23,29,1.62,0.63,0.4
Greece,0,0,0,0,0,0
Hungary,0,4,4,0.22,1.36,0.4
Italy,4,20,24,1.34,0.76,0.4
The Netherlands,0,19,19,1.06,1.2,1.1
Poland,0,21,21,1.18,1.38,0.5
Portugal,1,0,1,0.06,0,0.1
Romania,4,13,17,0.95,1.44,0.8
Spain,1,9,10,0.56,0.99,0.2
UK,23,286,309,17.31,3.49,4.9
Other NATO EU,0,11,11,0.62,1.64,0.7
NATO EU,48,441,489,27.39,1.81,1
Canada,39,97,136,7.62,3.66,4
Denmark,0,33,33,1.85,5.04,6
Turkey,0,0,0,0,0,0
United States,196,922,"1,118",62.63,2.64,3.6
Other NATO NON EU,1,8,9,0.5,0.9,0.7
NATO NON EU,236,"1,060","1,296",72.61,2.64,2.9
NATO TOTAL,284,"1,501","1,785",100,2.33,2
Australia,1,17,18,,1.54,0.8
New Zealand,0,1,1,,0.64,0.2
Sweden,2,3,5,,0.84,0.6
Other NON NATO,0,8,8,,1.27,0
NON NATO TOTAL,3,29,32,,1.29,0.1
ALL NATIONS,287,"1,530","1,817",,2.29,1.6